"key","value","languageCode"
"ADD CUSTOMER","Add Customer","en"
"Customers","Customers","en"
"Select Frequency","Select Frequency","en"
"Start Date","Start Date","en"
"End Date","End Date","en"
"Duration","Occurances","en"
"Select Notification Template","Select Notification Template","en"
"in days","in days","en"
"Import & Export","Import & Export","en"
"Document Repository","Document Repository","en"
"Notification Templates","Notification Templates","en"
"name","name","en"
"Filter","Filter","en"
"Tier","Tier","en"
"Schedule","Schedule","en"
"Filter By: ","Filter By: ","en"
"Share Credentials","Share Credentials","en"
"Invite Supplier","Invite Supplier","en"
"Create Notification","Create Notification","en"
"Share Credential","Share Credential","en"
"Change Password","Change Password","en"
"My Organization","My Organization","en"
"Assessments","Assessments","en"
"Redwoods Admin","Redwoods Admin","en"
"Edit SUPPLIER","Edit Supplier","en"
"Edit CUSTOMER","Edit Customer","en"
"Data Exported Successfully","Data Exported Successfully","en"
"Export","Export","en"
"Import","Import","en"
"Brand","Brand","en"
"Name of the Organization","Name of the Organization","en"
"United States","United States","en"
"Address Line 1","Address Line 1","en"
"Address Line 2","Address Line 2","en"
"Select Country","Select Country","en"
"Country","Country","en"
"Select State","Select State","en"
"State/Province","State/Province","en"
"City Name Here","City Name Here","en"
"City","City","en"
"123456","123456","en"
"Postal Code","Postal Code","en"
"My Profile","My Profile","en"
"Open","Open","en"
"Assessment","Assessment","en"
"Company","Company","en"
"AI Predictions","AI Predictions","en"
"Home Spend Analytics","Home Spend Analytics","en"
"MENU.SUPPLIER","Supplier","en"
"Home Supplier Emissions Top","Home Supplier Emissions Top","en"
"Reports Table","Reports Table","en"
"New Report","New Report","en"
"Customer List","Customer List","en"
"Suppliers List","Suppliers List","en"
"Purchased Gases","Purchased Gases","en"
"Commuting","Commuting","en"
"Search by title","Search by title","en"
"SCOPE 1","Scope 1","en"
"SCOPE 2","Scope 2","en"
"SCOPE 3","Scope 3","en"
"ESG Year","ESG Year","en"
"Resource","Resource","en"
"CO2 Equivalent (Mt)","CO2 Equivalent (Mt)","en"
"Fuel Combusted","Fuel Combusted","en"
"Quantity Combusted","Quantity Combusted","en"
"CH4 Emissions (kg)","CH4 Emissions (kg)","en"
"N2O Emissions (kg)","N2O Emissions (kg)","en"
"Passenger-Miles (miles)","Passenger-Miles (miles)","en"
"Flight Length","Flight Length","en"
"Gas","Gas","en"
"Emission Factors","Emission Factors","en"
"Purchase Amount In Lb","Purchase Amount In Lb","en"
"total","total","en"
"CO2 Emissions (kg / mmBtu)","CO2 Emissions (kg / mmBtu)","en"
"CH$ Emissions (kg / mmBtu)","CH$ Emissions (kg / mmBtu)","en"
"N2O Emissions (kg / mmBtu)","N2O Emissions (kg / mmBtu)","en"
"Personal Vehicle, Rental Car or Taxi - Business Travel By Vehicle-Miles (CO2)","Personal Vehicle, Rental Car or Taxi - Business Travel By Vehicle-Miles (CO2)","en"
"Stationary source Fuel Combustion (CO2)","Stationary source Fuel Combustion (CO2)","en"
"Air - Business Travel Passenger - Miles (CO2, CH4 and N20)","Air - Business Travel Passenger - Miles (CO2, CH4 and N20)","en"
"On-Road Product Transport by Vehicle-Miles (CO2,CH4 and N2o)","On-Road Product Transport by Vehicle-Miles (CO2,CH4 and N2o)","en"
"Personal Vehicle - Employee Commuting by By Vehicle- Miles (CO2)","Personal Vehicle - Employee Commuting by By Vehicle- Miles (CO2)","en"
"Source Level Fire Suppression Gas CO2 Equivalent Emissions - Screening - Method","Source Level Fire Suppression Gas CO2 Equivalent Emissions - Screening - Method","en"
"Rail or Bus - Business Travel by Passenger - Miles (CO2)","Rail or Bus - Business Travel by Passenger - Miles (CO2)","en"
"Organization-Wide Refrigeration Gas CO2 Equivalent Emissions - Simplified Material Balance","Organization-Wide Refrigeration Gas CO2 Equivalent Emissions - Simplified Material Balance","en"
"Waste Disposal Weight by Waste material and Disposal Method (CO2)","Waste Disposal Weight by Waste material and Disposal Method (CO2)","en"
"Organization-Wide Fire Suppression Gas CO2 Equivalent Emissions - Material Balance","Organization-Wide Fire Suppression Gas CO2 Equivalent Emissions - Material Balance","en"
"Organization-Wide Fire Suppression Gas CO2 Equivalent Emissions -Simplified Material Balance","Organization-Wide Fire Suppression Gas CO2 Equivalent Emissions - Simplified Material Balance","en"
"Supplier","Supplier","en"
"Completion Date","Completion Date","en"
"Status","Status","en"
"Approve","Approve","en"
"Reject","Reject","en"
"Send Reminder","Send Reminder","en"
"Close","Close","en"
"Environment Emission By Scope","Environment Emission By Scope","en"
"Energy Used by Location","Energy Used by Location","en"
"Environment Total Energy Emissions","Environment Total Energy Emissions","en"
"Organization Hierarchy","Organization Hierarchy","en"
"Fuel Usage","Fuel Usage","en"
"Vehicle Year","Vehicle Year","en"
"Miles Traveled","Miles Traveled","en"
"Inventory Change (Ib)","Inventory Change (Ib)","en"
"Transferred Amount (Ib)","Transferred Amount (Ib)","en"
"New Units","New Units","en"
"Existing Units","Existing Units","en"
"Recharge (lb)","Recharge (lb)","en"
"Equipment Type","Equipment Type","en"
"Gas Type","Gas Type","en"
"Unit Capacity (Kg)","Unit Capacity (Kg)","en"
"Recharge (kg)","Recharge (kg)","en"
"Existing  Units","Existing  Units","en"
"Capacity (kg)","Capacity (kg)","en"
"Charge (kg)","Charge (kg)","en"
"Disposed Units","Disposed Units","en"
"Recovered (kg)","Recovered (kg)","en"
"Assign","Assign","en"
"New Assessment","New Assessment","en"
"Delete","Delete ?","en"
"Title","Title","en"
"Created","Created","en"
"Sign In","Sign In","en"
"User Name","User Name","en"
"Continue","Continue","en"
"Need help with Credentials, please contact","Need help with Credentials, please contact","en"
"support@redwoods.ai","support@redwoods.ai","en"
"Name of the Organisation","Name of the Organisation","en"
"my-organization","my-organization","en"
"Environment Emission By Scope","Environment Emission By Scope","en"
"Emission By Scope","Emission By Scope","en"
"Energy Used by Location","Energy Used by Location","en"
"Total Energy Emissions","Total Energy Emissions","en"
"Timelines","Timelines","en"
"Spend Analytics","Spend Analytics","en"
"USERID","USERID","en"
"NAME & EMAIL","NAME & EMAIL","en"
"EXPORTS","EXPORTS","en"
"Created By","Created By","en"
"Description","Description","en"
"Name","Name","en"
"No Records Found","No Records Found","en"
"Please Add Records To Display Here","Please Add Records To Display Here","en"
"Delete All","Delete All","en"
"Reminder All","Reminder All","en"
"Community page!","Community page!","en"
"Activate","Activate","en"
"Connectors","Connectors","en"
"Environment","Environment","en"
"ESG Score","ESG Score","en"
"Social","Social","en"
"Governance","Governance","en"
" - Powered By Redwoods.AI"," - Powered By Redwoods.AI","en"
"2023","2023","en"
"Take Action","Take Action","en"
"Share","Share","en"
"Resend","Resend","en"
" No matching records found"," No matching records found","en"
"Setup","Setup","en"
"Recycled Water","Recycled Water","en"
"Water Withdrawal","Water Withdrawal","en"
"Water Quantity(in millions of liters)","Water Quantity(in millions of liters)","en"
"Error in Loading data","Error in Loading data","en"
"We're building this space!"," We're building this space!","en"
"Please come back later to see this page","Please come back later to see this page","en"
"Oops!","Oops!","en"
"We can't find that page.","We can't find that page.","en"
"System Error","System Error","en"
"Return Home","Return Home","en"
"Inactive forms are non-editable","Inactive forms are non-editable","en"
"Updated the form","Updated the form","en"
"Form Created Successfully","Form Created Successfully","en"
"Sample file","Sample file","en"
"Setup Email Notification:","Setup Email Notification:","en"
"Email Notifications","Email Notifications","en"
"Send Copy To Personal Email","Send Copy To Personal Email","en"
"Activity Related Emails:","Activity Related Emails:","en"
"You have new notifications","You have new notifications","en"
"You're sent a direct message","You're sent a direct message","en"
"Someone adds you as a connection","Someone adds you as a connection","en"
"Upon new order","Upon new order","en"
"New membership approval","New membership approval","en"
"Member registration","Member registration","en"
"Updates From Keenthemes:","Updates From Keenthemes:","en"
"Email You With","Email You With","en"
"News about Keenthemes products and feature updates","News about Keenthemes products and feature updates","en"
"Tips on getting more out of Keen","Tips on getting more out of Keen","en"
"News about Keenthemes on partner products and other services","News about Keenthemes on partner products and other services","en"
"Save Changes","Save Changes","en"
"My Campaigns","My Campaigns","en"
"30 Days","30 Days","en"
"90 Days","90 Days","en"
"6 Months","6 Months","en"
"1 Year","1 Year","en"
"Add Campaign","Add Campaign","en"
"Showing 1 to 10 of 50 entries","Showing 1 to 10 of 50 entries","en"
"Accepted","Accepted","en"
"Online","Online","en"
"Pending","Pending","en"
"Declined","Declined","en"
"No element selected","No element selected","en"
"Task Actions","Task Actions","en"
"Convert to Service Task","Convert to Service Task","en"
"Attach Timeout","Attach Timeout","en"
"Name:","Name:","en"
"Properties","Properties","en"
"ID:","ID:","en"
"Dashboard","Dashboard","en"
"Profile","Profile","en"
"Overview","Overview","en"
"Projects","Projects","en"
"Campaigns","Campaigns","en"
"Profile -","Profile -","en"
"Example link","Example link","en"
"Sorry, no results found","Sorry, no results found","en"
"Suggestions","Suggestions","en"
"Mega Menu","Mega Menu","en"
"Documents","Documents","en"
"Followers","Followers","en"
"Activity","Activity","en"
"Targets","Targets","en"
"Users","Users","en"
"Wizards","Wizards","en"
"Wizard Vertical","Wizard Vertical","en"
"Wizard Horizontal","Wizard Horizontal","en"
"Search","Search","en"
"Search Horizontal","Search Horizontal","en"
"Search Vertical","Search Vertical","en"
"Lists","Lists","en"
"Files","Files","en"
"Documentation","Documentation","en"
"Layout Builder","Layout Builder","en"
"Save Diagram","Save Diagram","en"
"Workflows","Workflows","en"
"Create User","Create User","en"
"Deleted","Deleted","en"
"User Deleted successfully","User Deleted successfully","en"
"Add New User","Add New User","en"
"Not available","Not available","en"
"Update Assessment","Update Assessment","en"
"Create Assessment","Create Assessment","en"
"My Assessment","My Assessment","en"
"New Password","New Password","en"
"Confirm Password","Confirm Password","en"
